index,ingredients,output,changelog
458,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring","tomato concentrate from red ripe tomato, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
459,"Sugar, Tomato Puree (Water, Tomato Paste), Vinegar, Apple Cider Vinegar, Sriracha Sauce (Red Jalapeno Peppers, Cayenne Peppers, Sugar, Salt, Garlic, Vinegar, Water, Citric Acid, Natual Flavor), Honey, Corn Starch, Modified Food Starch, Salt, Contains Less Than 2% of Molasses, Natural Flavor, Potassium Sorbate and Sodium Benzoate (To Protect Freshness), Dried Garlic, Dried Onion","sugar, tomato puree (water, tomato paste), vinegar, apple cider vinegar, sriracha sauce (red jalapeno pepper, cayenne pepper, sugar, salt, garlic, vinegar, water, citric acid, natural flavor), honey, corn starch, modified food starch, salt, contain less than 2% of molasses, natural flavor, potassium sorbate and sodium benzoate (to protect freshness), dried garlic, dried onion","- red jalapeno peppers → red jalapeno pepper (singular)
- cayenne peppers → cayenne pepper (singular)
- natual flavor → natural flavor (96%)
- contains less than 2% of molasses → contain less than 2% of molasses (singular)"
460,"Tomato Puree (Tomato Paste, Water), Distilled White Vinegar, High Fructose Corn Syrup, Salt, Corn Syrup, Dehydrated Onions, Spice, Garlic Powder, Natural Flavoring","tomato puree (tomato paste, water), distilled white vinegar, high fructose corn syrup, salt, corn syrup, dehydrated onion, spice, garlic powder, natural flavoring",- dehydrated onions → dehydrated onion (singular)
461,"Tomato Concentrate (Tomato Paste, Water), Distilled White Vinegar, High Fructose Corn Syrup, Horseradish, Corn Syrup, Salt, Soybean Oil, Dehydrated Onions, Natural Flavorings, Spices, Onion Powder, Garlic Powder","tomato concentrate (tomato paste, water), distilled white vinegar, high fructose corn syrup, horseradish, corn syrup, salt, soybean oil, dehydrated onion, natural flavoring, spice, onion powder, garlic powder","- dehydrated onions → dehydrated onion (singular)
- natural flavorings → natural flavoring (singular)
- spices → spice (singular)"
462,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring","tomato concentrate from red ripe tomato, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
463,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring","tomato concentrate from red ripe tomato, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
464,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring","tomato concentrate from red ripe tomato, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
465,"Cucumbers, High Fructose Corn Syrup, Cabbage, Yellow Mustard (Distilled White Vinegar, Mustard Seed, Water, Salt, Turmeric, Natural Flavor and Spices), Distilled White Vinegar, Salt, Mustard Seed, Dried Onions, Xanthan Gum, Spices, Potassium Sorbate (As Preservative), Dried Red Bell Peppers, Natural Flavors, Fd&C Yellow No. 5","cucumber, high fructose corn syrup, cabbage, yellow mustard (distilled white vinegar, mustard seed, water, salt, turmeric, natural flavor and spice), distilled white vinegar, salt, mustard seed, dried onion, xanthan gum, spice, potassium sorbate (preservative), dried red bell pepper, natural flavor, fdc yellow no 5","- cucumbers → cucumber (singular)
- natural flavor and spices → natural flavor and spice (singular)
- dried onions → dried onion (singular)
- spices → spice (singular)
- as preservative → preservative (89%)
- dried red bell peppers → dried red bell pepper (singular)
- natural flavors → natural flavor (singular)
- fd&c yellow no. 5 → fdc yellow no 5 (94%)"
466,"Tomato Concentrate (Tomato Paste, Water), Distilled White Vinegar, High Fructose Corn Syrup, Horseradish, Salt, Corn Syrup, Worcestershire Sauce (Distilled White Vinegar, Water, Molasses, Soy Sauce [Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Coloring], High Fructose Corn Syrup, Salt, Natural Flavoring, Caramel Coloring, Anchovies, Polysorbate 80, Soy Flour, Garlic Extract), Mustard Bran, Soybean Oil, Dehydrated Onions, Spices, Onion Powder, Natural Flavorings, Garlic Powder","tomato concentrate (tomato paste, water), distilled white vinegar, high fructose corn syrup, horseradish, salt, corn syrup, worcestershire sauce (distilled white vinegar, water, molasses, soy sauce (water, salt, hydrolyzed soy protein, corn syrup, caramel color), high fructose corn syrup, salt, natural flavoring, caramel color, anchovy, polysorbate 80, soy flour, garlic extract), mustard bran, soybean oil, dehydrated onion, spice, onion powder, natural flavoring, garlic powder","- caramel coloring → caramel color (90%)
- caramel coloring → caramel color (90%)
- anchovies → anchovy (singular)
- dehydrated onions → dehydrated onion (singular)
- spices → spice (singular)
- natural flavorings → natural flavoring (singular)"
467,"Distilled White Vinegar, Mustard Seed, Water, Salt, Turmeric, Natural Flavor and Spices","distilled white vinegar, mustard seed, water, salt, turmeric, natural flavor and spice",- natural flavor and spices → natural flavor and spice (singular)
468,"Distilled White Vinegar, Mustard Seed, Water, Salt, Turmeric, Natural Flavor and Spices","distilled white vinegar, mustard seed, water, salt, turmeric, natural flavor and spice",- natural flavor and spices → natural flavor and spice (singular)
469,"Distilled White Vinegar, Mustard Seed, Water, Salt, Turmeric, Natural Flavor and Spices","distilled white vinegar, mustard seed, water, salt, turmeric, natural flavor and spice",- natural flavor and spices → natural flavor and spice (singular)
470,"Tomato Puree (Tomato Paste, Water), High Fructose Corn Syrup, White Distilled Vinegar, Malt Vinegar, Salt, Contains 2% or Less Of: Raisin Concentrate, Mustard Flour, Soybean Oil, Turmeric, Spices, Apple Puree, Xanthan Gum, Sodium Benzoate and Potassium Sorbate (Preservatives), Caramel Color, Garlic Powder, Onion Powder, Natural Flavors","tomato puree (tomato paste, water), high fructose corn syrup, white distilled vinegar, malt vinegar, salt, contain 2% or less of: raisin concentrate, mustard flour, soybean oil, turmeric, spice, apple puree, xanthan gum, sodium benzoate and potassium sorbate (preservative), caramel color, garlic powder, onion powder, natural flavor","- contains 2% or less of: raisin concentrate → contain 2% or less of: raisin concentrate (singular)
- spices → spice (singular)
- preservatives → preservative (singular)
- natural flavors → natural flavor (singular)"
471,"Tomato Puree (Tomato Paste, Water), High Fructose Corn Syrup, White Distilled Vinegar, Malt Vinegar, Salt, Contains 2% or Less Of: Raisin Concentrate, Mustard Flour, Soybean Oil, Turmeric, Spices, Apple Puree, Xanthan Gum, Sodium Benzoate and Potassium Sorbate (Preservatives), Caramel Color, Garlic Powder, Onion Powder, Natural Flavors","tomato puree (tomato paste, water), high fructose corn syrup, white distilled vinegar, malt vinegar, salt, contain 2% or less of: raisin concentrate, mustard flour, soybean oil, turmeric, spice, apple puree, xanthan gum, sodium benzoate and potassium sorbate (preservative), caramel color, garlic powder, onion powder, natural flavor","- contains 2% or less of: raisin concentrate → contain 2% or less of: raisin concentrate (singular)
- spices → spice (singular)
- preservatives → preservative (singular)
- natural flavors → natural flavor (singular)"
472,"Distilled White Vinegar, Water, Molasses, High Fructose Corn Syrup, Salt, Soy Sauce (Water, Salt, Hydrolyzed Soy Protein, Corn Syrup, Caramel Coloring), Natural Flavorings, Caramel Coloring, Anchovies, Polysorbate 80, Soy Flour, Garlic Extract","distilled white vinegar, water, molasses, high fructose corn syrup, salt, soy sauce (water, salt, hydrolyzed soy protein, corn syrup, caramel color), natural flavoring, caramel color, anchovy, polysorbate 80, soy flour, garlic extract","- caramel coloring → caramel color (90%)
- natural flavorings → natural flavoring (singular)
- caramel coloring → caramel color (90%)
- anchovies → anchovy (singular)"
473,"Soybean Oil, Heinz Sweet Relish (Pickles (Cucumbers, Salt, Calcium Chloride), Sugar, Distilled White Vinegar, Xanthan Gum, Alum, Natural Flavors, Spice), Water, Distilled White Vinegar, High Fructose Corn Syrup, Egg Yolks, Salt, Modified Corn Starch, Mustard Flour, Lemon Juice Concentrate, Xanthan Gum, Onion Powder, Titanium Dioxide, Spice, Calcium Disodium Edta Added to Protect Flavor","soybean oil, heinz sweet relish (pickle (cucumber, salt, calcium chloride), sugar, distilled white vinegar, xanthan gum, alum, natural flavor, spice), water, distilled white vinegar, high fructose corn syrup, egg yolk, salt, modified corn starch, mustard flour, lemon juice concentrate, xanthan gum, onion powder, titanium dioxide, spice, calcium disodium edta added to protect flavor","- pickles → pickle (singular)
- cucumbers → cucumber (singular)
- natural flavors → natural flavor (singular)
- egg yolks → egg yolk (singular)"
474,"Soybean Oil, Distilled White Vinegar, Horseradish, Water, Sugar, High Fructose Corn Syrup, Egg Yolks, Salt, Lemon Juice Concentrate, Mustard Flour, Onion Powder, Spices, Corn Oil, Xanthan Gum, Onion Juice Concentrate, Natural and Artificial Flavorings, Calcium Disodium Edta Added to Protect Flavor, Extractives of Turmeric","soybean oil, distilled white vinegar, horseradish, water, sugar, high fructose corn syrup, egg yolk, salt, lemon juice concentrate, mustard flour, onion powder, spice, corn oil, xanthan gum, onion juice concentrate, natural and artificial flavoring, calcium disodium edta added to protect flavor, extractive of turmeric","- egg yolks → egg yolk (singular)
- spices → spice (singular)
- natural and artificial flavorings → natural and artificial flavoring (singular)
- extractives of turmeric → extractive of turmeric (singular)"
475,"Distilled White Vinegar, Cane Sugar, Tomato Paste, Water, Dark Brown Sugar, Blackstrap Molasses, Salt, Corn Starch, Natural Smoke Flavor, Mustard Seed, Garlic Powder, Onion Powder, Xanthan Gum, Spices, Natural Flavor, Anchovies, Onion, Garlic, Tamarind Concentrate, Oleoresin Paprika","distilled white vinegar, cane sugar, tomato paste, water, dark brown sugar, blackstrap molasses, salt, corn starch, natural smoke flavor, mustard seed, garlic powder, onion powder, xanthan gum, spice, natural flavor, anchovy, onion, garlic, tamarind concentrate, oleoresin paprika","- spices → spice (singular)
- anchovies → anchovy (singular)"
476,"Water, Dark Brown Sugar, Cane Sugar, Tomato Paste, Distilled White Vinegar, Apple Cider Vinegar, Blackstrap Molasses, Salt, Spices, Corn Starch, Dried Onions, Mustard Seed, Natural Smoke Flavor, Paprika, Xanthan Gum, Natural Flavor, Anchovies, Onions, Dried Garlic, Garlic, Tamarind Concentrate, Extractives of Paprika (Color)","water, dark brown sugar, cane sugar, tomato paste, distilled white vinegar, apple cider vinegar, blackstrap molasses, salt, spice, corn starch, dried onion, mustard seed, natural smoke flavor, paprika, xanthan gum, natural flavor, anchovy, onion, dried garlic, garlic, tamarind concentrate, extractive of paprika (color)","- spices → spice (singular)
- dried onions → dried onion (singular)
- anchovies → anchovy (singular)
- onions → onion (singular)
- extractives of paprika → extractive of paprika (singular)"
477,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, Salt, Natural Flavoring, Onion Powder, *Sucralose, Spice. *Not in Regular Ketchup","tomato concentrate from red ripe tomato, distilled vinegar, salt, natural flavoring, onion powder, sucralose, spice, not in regular ketchup",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
478,"Tomato Concentrate (Water, Tomato Paste), High Fructose Corn Syrup, Distilled White Vinegar, Molasses, Water, Salt, Modified Corn Starch, Natural Hickory Smoke Flavoring, Mustard Flour, Caramel Color, Sodium Benzoate and Potassium Sorbate as Preservatives, Jack Daniel'S Tennessee Whiskey Flavoring (Natural and Artificial Flavors), Onion Powder, Garlic Powder, Spice, Xanthan Gum","tomato concentrate (water, tomato paste), high fructose corn syrup, distilled white vinegar, molasses, water, salt, modified corn starch, natural hickory smoke flavor, mustard flour, caramel color, sodium benzoate and potassium sorbate as preservative, jack daniel tennessee whiskey flavor (natural and artificial flavor), onion powder, garlic powder, spice, xanthan gum","- natural hickory smoke flavoring → hickory smoke flavor (93%)
- sodium benzoate and potassium sorbate as preservatives → sodium benzoate and potassium sorbate as preservative (singular)
- jack daniel's tennessee whiskey flavoring → jack daniel tennessee whiskey flavor (94%)
- natural and artificial flavors → natural and artificial flavor (singular)"
